os_500_iters_p,os_1000_iters_p,os_5000_iters_p,os_500_iters_eps_q,os_1000_iters_eps_q,os_5000_iters_eps_q,sloan_500_iters_p,sloan_1000_iters_p,sloan_5000_iters_p,sloan_500_iters_eps_q,sloan_1000_iters_eps_q,sloan_5000_iters_eps_q
0.04611886933333409,0.05383380333333321,0.0449001219999996,0.0155731860522898,0.018261988242124216,0.015150449430384932,6.133733332802649e-06,5.78633333425671e-06,0.0,7.278361793816579e-08,7.096624654590045e-08,0.0
0.046140936333333826,0.053853288999999194,0.04491677033333197,0.015585274806969862,0.018273941183764575,0.015160458776311392,6.310099999851104e-06,5.800000000277805e-06,0.0,7.283441103012045e-08,7.097456328208906e-08,0.0
0.046163090000000295,0.05387286133333369,0.04493342866666694,0.015597363590649838,0.01828589415440482,0.015170468414428678,6.399799998391131e-06,5.726999999566829e-06,0.0,7.285620420849348e-08,7.095388013245163e-08,0.0
0.04618528700000013,0.053892476999997996,0.044950053666665823,0.015609452375291655,0.018297847126006933,0.015180478372300854,6.446166667117836e-06,5.610666667266173e-06,0.0,7.287703554514913e-08,7.093223511334124e-08,0.0
0.04620756733333309,0.05391177799999802,0.044966685333331924,0.01562154119226572,0.01830980029990975,0.015190488625729803,6.409200000945248e-06,5.736333333672405e-06,0.0,7.286553463381473e-08,7.095691967329287e-08,0.0
0.04622989733333327,0.05393112866666527,0.04498328999999934,0.01563363001019663,0.018321753474769387,0.015200499198942757,6.322566665772911e-06,5.812333332855246e-06,0.0,7.285307687676656e-08,7.098064741528631e-08,0.0
0.04625230799999969,0.053950560000000536,0.04499989866666709,0.01564571885714991,0.018333706678651362,0.015210510120002518,6.155266666141301e-06,5.807666667578815e-06,0.0,7.28115967518761e-08,7.097535276168188e-08,0.0
0.04627476466666813,0.053970037333334275,0.045016476666667415,0.01565780770170333,0.018345659880133536,0.015220521301836543,5.941966664479992e-06,5.757000000272683e-06,0.0,7.277251645732008e-08,7.097245796616747e-08,0.0
0.04629730833333312,0.05398960166666633,0.04503306833333376,0.01566989658195095,0.01835761311730988,0.01523053278261599,5.641666666278411e-06,5.619333334649923e-06,0.0,7.2697741992922e-08,7.0933869000811e-08,0.0
0.046319092333332534,0.054008811999999295,0.04504962333333218,0.015681986911737528,0.01836956653314678,0.015240544579845888,5.947633333391877e-06,5.763000002545482e-06,0.0,7.278103761332311e-08,7.097501417141494e-08,0.0
0.04634096299999868,0.05402810899999899,0.04506619166666681,0.015694077273908286,0.01838151998136786,0.015250556672664062,6.166933333773272e-06,5.820000001932613e-06,0.0,7.283194902729662e-08,7.098377519110244e-08,0.0
0.04636287666666661,0.05404744900000047,0.04508272300000016,0.015706167636984347,0.01839347343049419,0.01526056908523668,6.343233332373188e-06,5.833999999538264e-06,0.0,7.288195519317142e-08,7.099163090718008e-08,0.0
